Algorithm,Queens,Seed,Final Heuristic,Iterations,Execution Time
Simulated Annealing,10,9,1,1000,0.011511087417602539
Hill Climb,10,10,8,2,0.005953311920166016
Simulated Annealing,10,10,0,628,0.011969804763793945
Hill Climb,10,11,2,5,0.017982006072998047
Simulated Annealing,10,11,1,1000,0.02120804786682129
Hill Climb,10,12,4,3,0.010032176971435547
Simulated Annealing,10,12,1,1000,0.008726119995117188
Hill Climb,10,13,4,3,0.0
Simulated Annealing,10,13,1,1000,0.019919395446777344
Hill Climb,10,14,2,5,0.0037021636962890625
Simulated Annealing,10,14,1,1000,0.011897087097167969
Hill Climb,10,15,4,3,0.006111621856689453
Simulated Annealing,10,15,1,1000,0.011396169662475586
Hill Climb,10,16,2,3,0.0031092166900634766
Simulated Annealing,10,16,0,246,0.005385398864746094
Hill Climb,10,17,6,0,0.0
Simulated Annealing,10,17,1,1000,0.010178089141845703
Hill Climb,10,18,6,1,0.006005525588989258
Simulated Annealing,10,18,0,560,0.009279251098632812
Hill Climb,10,19,6,3,0.0015802383422851562
Simulated Annealing,10,19,0,658,0.012241840362548828
Hill Climb,10,20,8,1,0.0
Simulated Annealing,10,20,0,425,0.006235599517822266
Hill Climb,10,21,8,0,0.0
Simulated Annealing,10,21,0,269,0.006003856658935547
Hill Climb,10,22,2,4,0.005514383316040039
Simulated Annealing,10,22,0,940,0.010755062103271484
Hill Climb,10,23,2,3,0.0
Simulated Annealing,10,23,1,1000,0.013786077499389648
Hill Climb,10,24,4,2,0.00750732421875
Simulated Annealing,10,24,0,209,0.007517099380493164
Hill Climb,10,25,4,2,0.00220489501953125
Simulated Annealing,10,25,0,446,0.008163928985595703
Hill Climb,10,26,2,3,0.0025146007537841797
Simulated Annealing,10,26,0,826,0.012517929077148438
Hill Climb,10,27,4,4,0.0005075931549072266
Simulated Annealing,10,27,1,1000,0.011228799819946289
Hill Climb,10,28,2,5,0.004796504974365234
Simulated Annealing,10,28,1,1000,0.010265111923217773
Hill Climb,10,29,0,4,0.0
Simulated Annealing,10,29,1,1000,0.009829044342041016
