Algorithm,Num Queens,Execution Time,States Visited,Optimal Solution
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.015180826187133789,102,True
forward_checking,10,0.000823974609375,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0067958831787109375,102,True
forward_checking,10,0.0010347366333007812,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0009744167327880859,102,True
forward_checking,10,0.0010027885437011719,102,True
forward_checking,10,0.0,102,True
forward_checking,10,0.0009982585906982422,102,True
