algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,15,38,38,96,0.01925349235534668,True
DFS,15,400,400,809,0.07262063026428223,True
DLS,15,0,0,0,0.0025594234466552734,False
UCS e1,15,38,37,0,0.04652881622314453,True
UCS e2,15,38,0,96,0.12763738632202148,True
A*_e1,15,38,38,0,0.0041751861572265625,True
A*_e2,15,38,0,37,0.006012439727783203,True
aleatorio,15,0,0,0,0.0020110607147216797,False
BFS,16,44,44,118,0.022052288055419922,True
DFS,16,1656,1656,3236,0.14190244674682617,True
DLS,16,0,0,0,0.002040386199951172,False
UCS e1,16,44,43,0,0.07161426544189453,True
UCS e2,16,44,0,118,0.14438104629516602,True
A*_e1,16,44,44,0,0.008576393127441406,True
A*_e2,16,44,0,43,0.0076313018798828125,True
aleatorio,16,0,0,0,0.0019986629486083984,False
BFS,17,68,68,117,0.03928804397583008,True
DFS,17,1884,1884,3671,0.11766576766967773,True
DLS,17,0,0,0,0.001999378204345703,False
UCS e1,17,68,67,0,0.16532230377197266,True
UCS e2,17,68,0,117,0.13524293899536133,True
A*_e1,17,68,68,0,0.0066187381744384766,True
A*_e2,17,68,0,67,0.004000663757324219,True
aleatorio,17,0,0,0,0.0025107860565185547,False
BFS,18,22,22,27,0.005008220672607422,True
DFS,18,310,310,592,0.07059240341186523,True
DLS,18,0,0,0,0.002994060516357422,False
UCS e1,18,22,21,0,0.011945247650146484,True
UCS e2,18,22,0,27,0.016490459442138672,True
A*_e1,18,22,22,0,0.005070686340332031,True
A*_e2,18,22,0,21,0.003998517990112305,True
aleatorio,18,0,0,0,0.0010001659393310547,False
BFS,19,7,7,6,0.01331186294555664,True
DFS,19,171,171,323,0.01671123504638672,True
DLS,19,0,0,0,0.0,False
UCS e1,19,7,6,0,0.00820016860961914,True
UCS e2,19,7,0,6,0.0,True
A*_e1,19,7,7,0,0.0,True
A*_e2,19,7,0,6,0.00994563102722168,True
aleatorio,19,0,0,0,0.0012335777282714844,False
BFS,20,31,31,56,0.008513927459716797,True
DFS,20,279,279,543,0.014071464538574219,True
